	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000123473	1.90013341216289	2.2986018858962	11.0909826711705	1.30262324631237e-17	1.93839988112364e-15	29.6745960389595
ENSG00000119865	-1.69278770293653	4.14359965670471	-11.0646853122383	1.45846368168186e-17	2.13861875192021e-15	29.568352158107
ENSG00000106004	-1.99255199410382	3.86922970521566	-11.0511847531041	1.54561666675432e-17	2.21784951560197e-15	29.5181355825518
ENSG00000132680	1.52701310414241	5.96853752338858	11.0648633437071	1.45734802251176e-17	2.13861875192021e-15	29.5104071692765
ENSG00000171368	-2.1750550730689	4.95925635505441	-11.0552030415254	1.51914306751904e-17	2.19554425060359e-15	29.508670093366
ENSG00000159433	-1.77810102035902	5.89643483746152	-11.062557599619	1.4718639189283e-17	2.14262857009788e-15	29.5072486614995
ENSG00000138356	-2.92963179815294	4.69703534682249	-11.0343075122806	1.66196901886558e-17	2.31856219583269e-15	29.4391523700818
ENSG00000141338	-2.96273843486587	5.50511259970507	-11.0386280980342	1.6313696513031e-17	2.30002736080708e-15	29.4363358973258
ENSG00000162836	1.39238667269704	4.3851400842056	11.0377938038267	1.63723387224557e-17	2.30002736080708e-15	29.4330774820936
ENSG00000261863	-4.02686293469905	-0.960484692346284	-11.3268534412354	4.74168697358751e-18	9.01493346544856e-16	29.3848936977927
ENSG00000188092	0.99537681644138	2.45510030314969	11.018680171342	1.77754275540044e-17	2.42918751110472e-15	29.3733821759415
ENSG00000170989	-2.2756987771693	6.049576624335	-11.0292545583985	1.69848787036e-17	2.3531670915629e-15	29.3705964571857
ENSG00000114853	-1.11225834950063	4.65535660697294	-11.0206490111014	1.76254839745969e-17	2.42519416140875e-15	29.3567093107127
ENSG00000264230	-3.7924478654764	2.1033702937406	-11.0394701880053	1.62547204200566e-17	2.30002736080708e-15	29.3350082080077
ENSG00000171522	-2.0206728729805	5.1671900552672	-11.0113772330684	1.8342892490792e-17	2.47308971307061e-15	29.312517496259
ENSG00000106603	0.715029249673192	5.30351715301267	11.0153901187009	1.80288594138918e-17	2.4471740322005e-15	29.3025104717457
ENSG00000137872	-1.88961866077184	4.19047901424165	-10.9892884371048	2.01725440459287e-17	2.68374991615008e-15	29.2486157926864
ENSG00000166025	-1.47701366267082	6.24058239762927	-10.9954888326483	1.96411827569419e-17	2.63047813602803e-15	29.2131057901445
ENSG00000164855	2.45349011070244	3.91643073918081	10.9750222702137	2.14506469864278e-17	2.81648396934867e-15	29.1864949864417
ENSG00000095370	-1.93978634295861	5.48365722010068	-10.9751918829167	2.14349832258886e-17	2.81648396934867e-15	29.1461875963193
ENSG00000145147	-2.58919502621488	6.28976754908361	-10.970904613986	2.18344631009249e-17	2.83635292102184e-15	29.1221025860151
ENSG00000079308	-1.7733398839852	9.09824883153948	-10.9613767566885	2.27492509311038e-17	2.92954937150605e-15	29.1072720638071
ENSG00000151702	-1.51536770360822	5.64153089610749	-10.9518582510167	2.3701609494405e-17	3.03274925562485e-15	29.0356598466173
ENSG00000131831	-2.12694359234224	4.33311384450859	-10.9360751441399	2.53698979273452e-17	3.22567012317998e-15	29.020763511341
ENSG00000257894	-3.00481120677223	1.42377295319939	-10.9703747691725	2.18843497813921e-17	2.83635292102184e-15	28.9791589020744
ENSG00000128268	-3.17464028681433	4.14741802857867	-10.9212297522053	2.70466571531278e-17	3.35395244166164e-15	28.9685377546953
ENSG00000175745	-1.52858310486015	5.44490895308782	-10.9275276174859	2.63221338017693e-17	3.30490841214839e-15	28.936760220784
ENSG00000120896	-1.27972668436331	6.6552199530859	-10.925737575243	2.65260579910192e-17	3.30982595640736e-15	28.9131785196076
ENSG00000168481	-5.76313260472125	3.05107492712556	-10.9303469419015	2.60041421769391e-17	3.28551705781465e-15	28.894669800891
ENSG00000154783	-2.09751415194507	5.81623731536616	-10.9135476621687	2.79576166150323e-17	3.42535082699427e-15	28.8771974687286
ENSG00000039523	-1.30591072536267	6.26188362167627	-10.9134993715881	2.79634394756862e-17	3.42535082699427e-15	28.8605649114048
ENSG00000241644	-3.5570017767231	6.47385329314969	-10.8993029776913	2.972917986373e-17	3.59776803784622e-15	28.8295013537781
ENSG00000111052	-1.98986984804757	3.27231755066483	-10.8849493659014	3.16284482953085e-17	3.75966803434587e-15	28.8146027333739
ENSG00000093183	-0.698279491777124	5.84620495085639	-10.9023003958884	2.93472607925097e-17	3.57307346703471e-15	28.8109348143224
ENSG00000243364	1.79168695179897	2.50750063090401	10.8803203724817	3.2266596547816e-17	3.81296269440633e-15	28.7917068041109
ENSG00000012171	-2.13927325271719	6.09178066800806	-10.8887354137587	3.11159467708878e-17	3.72076342071645e-15	28.7668381879816
ENSG00000183317	3.50145374763757	1.49608103260278	10.8902974684081	3.09069373644301e-17	3.7179009863116e-15	28.7649160800438
ENSG00000124942	-1.9517763311181	10.6690126019093	-10.872109177749	3.34305847382343e-17	3.92740945500812e-15	28.751556896279
ENSG00000068615	-2.40878221910775	2.73367392703155	-10.8596715317571	3.52745734435411e-17	4.11994712736801e-15	28.6903102756124
ENSG00000114200	-3.06101318554643	3.74554471407665	-10.8407258130244	3.82818045104896e-17	4.36956347051833e-15	28.6277161565207
ENSG00000157927	-2.70138094301513	2.34702113332736	-10.8450427054327	3.75746812414928e-17	4.33814811184108e-15	28.6016645751861
ENSG00000261371	-1.89520909105913	8.7787853488131	-10.840861427254	3.82593882512476e-17	4.36956347051833e-15	28.5857232375581
ENSG00000166275	-1.01593316697624	4.40370558640584	-10.8363488671994	3.90124190718032e-17	4.42779936007602e-15	28.5788006723224
ENSG00000279117	-1.86238363381251	4.70402113106689	-10.8289716613646	4.0275698231862e-17	4.51837166291697e-15	28.5475156020627
ENSG00000163788	-1.20020172644199	6.25005506059318	-10.8321397069099	3.97282399182551e-17	4.48371130178554e-15	28.5108119162857
ENSG00000109586	1.47889619973404	5.07704163403797	10.8243598169925	4.10862329211839e-17	4.56011786272742e-15	28.4969516262646
ENSG00000139112	-1.34116941372694	6.61382209064073	-10.8175801210757	4.23076233698419e-17	4.6698782740481e-15	28.4496312097198
ENSG00000087589	-2.457261796419	4.23239226927584	-10.7909468451987	4.74694293715264e-17	5.15466684672754e-15	28.4076963906587
ENSG00000173706	-1.8501325321925	7.57989216559207	-10.8037971584091	4.4904335270713e-17	4.92745832320561e-15	28.4032743515896
ENSG00000158435	0.870768543652206	5.61266414360612	10.8026283054452	4.5131780151816e-17	4.92745832320561e-15	28.3856895011792
ENSG00000182247	-0.943555835031233	4.3576479188742	-10.7840989880962	4.8895971105502e-17	5.25932312576931e-15	28.3566888713195
ENSG00000149557	-1.99877650216225	3.993658489276	-10.7729641919459	5.13081199068141e-17	5.42577437870331e-15	28.3324431418147
ENSG00000102760	-2.32582273031278	6.88410884377942	-10.7838114069748	4.89568134062851e-17	5.25932312576931e-15	28.3136326114962
ENSG00000076555	-1.53332965169455	5.6533986415675	-10.7804050987451	4.96832841331595e-17	5.30897603697363e-15	28.3010062161262
ENSG00000117262	0.985935186850061	2.4834973603426	10.7595455773281	5.43744445605222e-17	5.63055781843469e-15	28.2783602997269
ENSG00000168734	-1.45047193954604	5.55704001247928	-10.7729264405359	5.1316498180777e-17	5.42577437870331e-15	28.2698432010296
ENSG00000150977	-1.27573090023755	5.15074798704645	-10.7622087170305	5.37515767010914e-17	5.62403866848034e-15	28.2342732827519
ENSG00000100307	-1.50098263524604	5.78691887439676	-10.7602821788077	5.42014427440092e-17	5.63055781843469e-15	28.2110809118541
ENSG00000196584	2.56455023415427	1.06982277803887	10.7650093658252	5.31042789580736e-17	5.58540240831801e-15	28.2015930656827
ENSG00000145990	-1.80437352396973	4.84323846806301	-10.7416308151443	5.87571759999055e-17	6.02231075848011e-15	28.1672962018057
ENSG00000131747	2.90433400207499	3.97493407103152	10.717696608435	6.5171537732489e-17	6.61227788640389e-15	28.0901788780588
ENSG00000163412	-1.01555283176198	5.36004741072096	-10.7215024327342	6.41064092097349e-17	6.53722667316936e-15	28.0485104463819
ENSG00000135218	-2.98696476492336	6.13782408614187	-10.7129663858856	6.65201923196222e-17	6.7151967010497e-15	28.0269193822184
ENSG00000175832	3.02159517651848	3.04022848853564	10.6946017596772	7.2027358914593e-17	7.16315650116465e-15	28.0059802623528
ENSG00000137842	0.960460718558585	4.73646617522936	10.7001025513699	7.0331379009785e-17	7.06443536463786e-15	27.9718460365637
