	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000172543	292.462985151454	-1.04632772588613	0.270269318188013	-3.87142622366868	0.000108200406888002	0.000260565568685336
ENSG00000172500	945.23168320136	0.161701907483987	0.0829906206400646	1.94843593452926	0.0513628235841598	0.0750474771243136
ENSG00000175602	1003.86487326443	-1.44304915855442	0.154917786085848	-9.31493532805043	1.22026856832831e-20	2.93580542145478e-19
ENSG00000175592	556.299307248846	-2.26718928095207	0.446375151052384	-5.07911176418959	3.7920359167822e-07	1.34163806854945e-06
ENSG00000175573	596.933213996772	-0.198310812256685	0.0809141640916298	-2.45087883540528	0.0142507914467879	0.023366319733474
ENSG00000175550	861.243961877251	0.0139138651874797	0.110319134224643	0.126123770688291	0.899633951430238	0.920294655783789
ENSG00000175467	1585.37000119511	-0.151997188072944	0.0734185948070287	-2.07028190164152	0.0384259534007129	0.0576633284430359
ENSG00000175376	555.160312957616	0.234446188983799	0.0686110187215554	3.41703407633771	0.000633073549537056	0.00133198727866044
ENSG00000175334	1454.88795126109	0.347001172773122	0.100815519586445	3.44194201643312	0.000577554034124537	0.00122324543927547
ENSG00000175315	209.730378490384	-1.0389723609531	0.273766625586547	-3.79510233845011	0.000147582567817963	0.000347775507905578
ENSG00000175294	34.5359616909764	-0.477512121476376	0.248973541951834	-1.9179231565447	0.0551207555277297	0.0798875158932661
ENSG00000087365	4621.85032579975	0.0962112137717374	0.0613961315252021	1.56705661059841	0.117101459907506	0.157091901708307
ENSG00000175115	2320.59789945257	-0.00301347667680749	0.0723571110103589	-0.0416472774372663	0.96677988396899	0.974209005579416
ENSG00000255320	35.7383777533493	-0.192676416710318	0.115432667034591	-1.66916715744408	0.0950842569147313	0.13046565379141
ENSG00000174996	663.386497486646	0.25407493040719	0.0957456504293333	2.65364462268408	0.00796276398215742	0.0136908563537796
ENSG00000174903	2057.71515655408	-0.324497005871152	0.0636839577195169	-5.0954277574948	3.47954692042785e-07	1.2406925467603e-06
ENSG00000245156	27.6564388613001	0.601643685286833	0.115367432751724	5.21502187347447	1.83795545761704e-07	6.81230390923775e-07
ENSG00000174871	33.5815857629819	-0.0436005964786716	0.208726032283892	-0.208889116520788	0.83453480050637	0.865850464410889
ENSG00000174851	982.53048992877	0.432334779251098	0.0889367181612539	4.86115058200392	1.16705433445359e-06	3.83777288015031e-06
ENSG00000179292	35.072904579992	-2.47553074342005	0.512610037241701	-4.82926701307024	1.37036549941763e-06	4.45457484106809e-06
ENSG00000174807	1188.31193765374	-0.925546841543976	0.232274055192764	-3.98471900262758	6.75600241318202e-05	0.000167785056840665
ENSG00000174791	236.363443449872	0.168263367452809	0.180117190415386	0.934188275226593	0.35020678268118	0.412506834200071
ENSG00000174744	807.906156220059	0.30617836040633	0.0944910287106988	3.24029026442023	0.00119408079647748	0.00239400091022316
ENSG00000174684	652.575410941606	-0.927045182827021	0.125397174325497	-7.39287139294432	1.43691444556205e-13	1.25396065581651e-12
ENSG00000255468	105.717723095237	0.00885921271072441	0.207127144402477	0.0427718575287734	0.965883397890734	0.973637993889656
ENSG00000174669	499.530425478246	0.890211460836726	0.15890337560302	5.60221869081432	2.1162531568615e-08	8.97285978644803e-08
ENSG00000174547	576.578515392505	0.216754883934001	0.0930524032997764	2.32938512330204	0.0198386724670615	0.031567452767588
ENSG00000174516	274.666788927705	-0.867708963072982	0.108359665550788	-8.00767479912802	1.16897525782437e-15	1.35664609788757e-14
ENSG00000255517	39.0732867871218	0.242602408134149	0.119474180094992	2.03058441532104	0.0422971699790497	0.0629693084118222
ENSG00000254986	869.074656462143	0.727548938414954	0.0913141788939007	7.96753524181939	1.61870307059716e-15	1.83614488905852e-14
ENSG00000174483	58.6953017814867	0.731252648157228	0.128838206029428	5.67574379287929	1.38087325299196e-08	6.01873785622812e-08
